Vibration1,timestamp,Vibration2,file_label,gps_index,Category
-1.660386417877065,113000,-0.1288837346473195,file1,113,Turnout
-3.651606208878672,113001,-1.349287391528185,file1,113,Turnout
-3.096299039440925,113002,-1.7214030570646144,file1,113,Turnout
-1.5650970219380451,113003,-1.9374337321936643,file1,113,Turnout
1.664884916270828,113004,-1.0009237897494034,file1,113,Turnout
3.186229410055887,113005,-0.0666759486153941,file1,113,Turnout
2.5553478921147783,113006,0.8573924366224831,file1,113,Turnout
3.498384327787157,113007,1.2283770515037833,file1,113,Turnout
0.4064077216279025,113008,0.8064951571418155,file1,113,Turnout
-2.343841395646594,113009,0.4287242383297602,file1,113,Turnout
-1.0196473762181273,113010,-0.2148435844368897,file1,113,Turnout
-1.7359607663804275,113011,-0.6785743530385153,file1,113,Turnout
0.8302812414945828,113012,-1.1694503373631635,file1,113,Turnout
4.625427872859023,113013,-1.1117667539517415,file1,113,Turnout
3.5739586762905198,113014,-0.7147679740025447,file1,113,Turnout
3.784252515604216,113015,-0.4625436779094646,file1,113,Turnout
2.6999249066429507,113016,-0.2318093442637769,file1,113,Turnout
-0.5793446501550701,113017,-0.1990088752651255,file1,113,Turnout
-0.4709118892589434,113018,-0.3675354228788875,file1,113,Turnout
-0.8586411554935789,113019,-0.5767797940771825,file1,113,Turnout
-0.6746340460940907,113020,-0.9828269792673876,file1,113,Turnout
2.230049609426404,113021,-1.642229511205799,file1,113,Turnout
3.53781442265848,113022,-1.6139532448276508,file1,113,Turnout
3.3603789957375456,113023,-1.3979225696986008,file1,113,Turnout
2.1807619908372518,113024,-0.6955401128654041,file1,113,Turnout
-0.6154889037871122,113025,0.0351186103459404,file1,113,Turnout
-1.4435208960848067,113026,0.3733027562285897,file1,113,Turnout
-2.0185431129582105,113027,0.5746297728410042,file1,113,Turnout
-0.5892021738728996,113028,0.324667578058174,file1,113,Turnout
2.2793372280155477,113029,-0.2940171302957023,file1,113,Turnout
2.617778875661036,113030,-1.35607369545894,file1,113,Turnout
3.981402989960817,113031,-1.6682436762736956,file1,113,Turnout
3.0482240780062675,113032,-1.2022508063618151,file1,113,Turnout
0.3472625793209239,113033,-0.4489710700479537,file1,113,Turnout
-0.9145004565612804,113034,1.097175175509178,file1,113,Turnout
-2.63299542470293,113035,1.929628457681856,file1,113,Turnout
-2.478560886456929,113036,2.316447781734921,file1,113,Turnout
-0.9177862978005576,113037,2.3243651363208016,file1,113,Turnout
1.6550273925529992,113038,1.56543014673131,file1,113,Turnout
2.900361222238819,113039,0.1832862461674362,file1,113,Turnout
1.661599075031552,113040,-0.6604775425565005,file1,113,Turnout
0.902569748758669,113041,-0.7962036211716108,file1,113,Turnout
-2.0875457789830207,113042,-0.6333323268334785,file1,113,Turnout
-4.4763523599370885,113043,0.072443281965095,file1,113,Turnout
-2.9977238022626285,113044,0.7001763955599809,file1,113,Turnout
-3.8421850007567113,113045,1.1401551004039647,file1,113,Turnout
-1.298943881556643,113046,1.186528177264126,file1,113,Turnout
2.755784207710656,113047,0.9614490968940692,file1,113,Turnout
-0.3887658582770286,113048,0.0566085727933338,file1,113,Turnout
-0.0437525281529885,113049,-0.6299391748681008,file1,113,Turnout
-1.5782403868951502,113050,-0.9081776360290768,file1,113,Turnout
-5.82354726804048,113051,-1.2293960220848377,file1,113,Turnout
-4.42377890010866,113052,-1.3820878605268363,file1,113,Turnout
-4.453351471262154,113053,-1.331190581046172,file1,113,Turnout
-2.8334317402987987,113054,-0.6921469609000265,file1,113,Turnout
0.2256864534676906,113055,-0.2872308263649474,file1,113,Turnout
0.396550197910072,113056,0.5237324933603371,file1,113,Turnout
0.2388298184247965,113057,0.5972507859435235,file1,113,Turnout
-1.4369492136062545,113058,-0.0700691005807715,file1,113,Turnout
-2.649424630899312,113059,-0.2928860796405764,file1,113,Turnout
-3.638462843921558,113060,-1.0733110316774612,file1,113,Turnout
-4.183912489641476,113061,-1.7202720064094883,file1,113,Turnout
-1.410662483692044,113062,-1.623001650068657,file1,113,Turnout
-0.546486237762304,113063,-1.1615329827772831,file1,113,Turnout
0.8927122250408316,113064,-0.5835660980079382,file1,113,Turnout
2.9890789356992866,113065,0.3936616680208572,file1,113,Turnout
0.7054192744020708,113066,0.605168140529404,file1,113,Turnout
-1.5552394982202165,113067,0.4830146697758049,file1,113,Turnout
-1.89039530462642,113068,0.3959237693311088,file1,113,Turnout
-2.869575993930846,113069,-0.2928860796405764,file1,113,Turnout
-2.117118350136507,113070,-0.8086451783779959,file1,113,Turnout
-0.5793446501550701,113071,-0.8007278237921147,file1,113,Turnout
1.4118751408465309,113072,-0.3290797006046062,file1,113,Turnout
2.289194751733376,113073,0.3936616680208572,file1,113,Turnout
2.0197557701126976,113074,0.7985778025559351,file1,113,Turnout
2.236621291904956,113075,1.1548587589206,file1,113,Turnout
-1.3318022939494056,113076,1.2849295842600803,file1,113,Turnout
-1.8246784798408948,113077,1.291715888190838,file1,113,Turnout
0.7481352105126663,113078,1.178610822678245,file1,113,Turnout
-1.5913837518522551,113079,0.7329768645586323,file1,113,Turnout
2.25962218057989,113080,0.4762283658450471,file1,113,Turnout
5.358170469217704,113081,0.3337159832991835,file1,113,Turnout
2.272765545536995,113082,-0.0078613145488461,file1,113,Turnout
4.424991557263153,113083,-0.0779864551666521,file1,113,Turnout
2.7032107478822267,113084,-0.1368010892332001,file1,113,Turnout
-0.1751861777240514,113085,-0.0180407704449784,file1,113,Turnout
1.10957774683309,113086,0.2975223623351546,file1,113,Turnout
-0.7173499822046864,113087,0.3484196418158189,file1,113,Turnout
0.8499962889302403,113088,0.2104314618904585,file1,113,Turnout
3.426095820523071,113089,-0.4387916141518202,file1,113,Turnout
3.222373663687926,113090,-0.933060750441846,file1,113,Turnout
4.158838416881752,113091,-1.2531480858424824,file1,113,Turnout
2.262908021819166,113092,-1.529124445693206,file1,113,Turnout
0.8697113363658979,113093,-1.1049804500209868,file1,113,Turnout
0.560842259873901,113094,-0.5089167547696274,file1,113,Turnout
-0.6417756337013248,113095,0.2228730190968424,file1,113,Turnout
1.011002509654794,113096,0.4547384033976568,file1,113,Turnout
